fromaccount,toaccount,syscode,timestamp,amount
E78957,1000041,34,2014/9/11 16:59,1500
A48833,1000041,34,2014/9/11 16:59,366
D71470,1000215,34,2014/9/11 16:58,2000
A73882,1000038,34,2014/9/11 16:58,622
C48415,1000038,34,2014/9/11 16:58,866
E53092,1000215,34,2014/9/11 16:58,1100
D64307,1000031,34,2014/9/11 16:58,1650
D55974,1000233,36,2014/9/11 16:58,1266
A75941,1000231,36,2014/9/11 16:58,1200
B41367,1000233,36,2014/9/11 16:58,1500
E65404,1000003,30,2014/9/11 16:58,600
D77142,1000178,37,2014/9/11 16:58,1022
B41934,1000060,38,2014/9/11 16:58,100
C37845,1000055,38,2014/9/11 16:59,844
E58974,1000041,34,2014/9/11 16:59,1500
A76151,1000038,34,2014/9/11 16:58,966
B45018,1000041,34,2014/9/11 16:58,1022
E60224,1000027,34,2014/9/11 16:59,616
D79448,1000040,34,2014/9/11 16:59,1550
D56754,1000029,34,2014/9/11 16:59,200
D43959,1000038,34,2014/9/11 16:58,760
C78470,1000027,34,2014/9/11 16:59,516
B42835,1000038,34,2014/9/11 16:59,766
E58101,1000233,36,2014/9/11 16:58,666
C60438,1000231,36,2014/9/11 16:59,1200
A76142,1000001,30,2014/9/11 16:59,716
B33645,1000001,30,2014/9/11 16:59,716
D15190,1000213,38,2014/9/11 16:58,730
E66683,1000055,38,2014/9/11 16:58,400
D63746,1000182,38,2014/9/11 16:58,600
C52068,1000215,34,2014/9/11 16:59,800
E66788,1000038,34,2014/9/11 16:58,866
A59354,1000041,34,2014/9/11 16:58,1060
B18510,1000178,37,2014/9/11 16:59,866
D53935,1000003,30,2014/9/11 17:17,150
D76043,1000232,36,2014/9/11 17:17,600
B78525,1000231,36,2014/9/11 17:17,1400
A72682,1000185,38,2014/9/11 17:17,990
C40528,1000055,38,2014/9/11 17:17,766
D64493,1000212,38,2014/9/11 17:17,1000
A66594,1000060,38,2014/9/11 17:17,200
C34729,1000055,38,2014/9/11 17:17,944
B60230,1000061,33,2014/9/11 17:17,1244
D68016,1000061,33,2014/9/11 17:17,1044
D49341,1000178,37,2014/9/11 17:17,600
D71040,1000178,37,2014/9/11 17:17,22
A21670,1000040,34,2014/9/11 17:17,1050
D36190,1000038,34,2014/9/11 17:17,300
B47689,1000031,34,2014/9/11 17:17,400
D59728,1000040,34,2014/9/11 17:17,1050
B26673,1000031,34,2014/9/11 17:17,200
D49977,1000041,34,2014/9/11 17:17,766
B71566,1000011,30,2014/9/11 17:17,600
C23432,1000231,36,2014/9/11 17:17,1500
E24604,1000232,36,2014/9/11 17:17,550
E79587,1000231,36,2014/9/11 17:17,1400
E77272,1000055,38,2014/9/11 17:18,1066
B75675,1000159,38,2014/9/11 17:17,1066
