fromaccount,toaccount,syscode,timestamp,amount
E77921,1000215,34,2014/9/14 17:12,1400
E40714,1000031,34,2014/9/14 17:12,400
C68012,1000041,34,2014/9/14 17:12,1316
D70244,1000027,34,2014/9/14 17:12,666
D74584,1000041,34,2014/9/14 17:12,130
C74855,1000040,34,2014/9/14 17:12,650
E49378,1000031,34,2014/9/14 17:12,400
D14890,1000178,37,2014/9/14 17:12,766
D44180,1000219,99,2014/9/14 17:12,600
E49949,1000019,49,2014/9/14 17:12,1100
B69770,1000231,36,2014/9/14 17:12,1116
B71857,1000233,36,2014/9/14 17:12,816
A74352,1000233,36,2014/9/14 17:15,716
B36205,1000231,36,2014/9/14 17:15,1000
D63898,1000047,36,2014/9/14 17:15,400
C17928,1000231,36,2014/9/14 17:15,1400
C66426,1000103,33,2014/9/14 17:15,1200
C49113,1000002,99,2014/9/14 17:15,816
B49446,1000219,99,2014/9/14 17:15,970
C72788,1000215,34,2014/9/14 17:15,2100
E48700,1000031,34,2014/9/14 17:15,1570
D23882,1000041,34,2014/9/14 17:15,1500
E16699,1000029,34,2014/9/14 17:15,200
B77494,1000041,34,2014/9/14 17:15,866
E55234,1000031,34,2014/9/14 17:15,250
D73787,1000041,34,2014/9/14 17:15,1066
C48433,1000038,34,2014/9/14 17:16,866
D57380,1000031,34,2014/9/14 17:15,400
C37271,1000019,49,2014/9/14 17:15,1200
E70769,1000159,38,2014/9/14 17:15,844
C66117,1000159,38,2014/9/14 17:15,766
C74810,1000055,38,2014/9/14 17:15,1066
D38045,1000185,38,2014/9/14 17:15,990
A61225,1000212,38,2014/9/14 17:15,1000
B76101,1000055,38,2014/9/14 17:15,844
B72173,1000182,38,2014/9/14 17:15,600
B44394,1000159,38,2014/9/14 17:16,1244
B50871,1000185,38,2014/9/14 17:15,990
C21071,1000213,38,2014/9/14 17:15,1430
D31869,1000001,30,2014/9/14 17:15,1116
A42603,1000011,30,2014/9/14 17:15,800
C57228,1000001,30,2014/9/14 17:15,622
