fromaccount,toaccount,syscode,timestamp,amount
C68450,1000095,22,2014/9/13 17:34,25
D61877,1000005,28,2014/9/13 17:34,1050
A79532,1000016,28,2014/9/13 17:34,320
A74255,1000016,28,2014/9/13 17:34,340
D61877,1000005,28,2014/9/13 17:34,650
B72855,1000095,64,2014/9/13 21:45,139
C23319,1000091,19,2014/9/13 21:45,40
A51910,1000095,64,2014/9/13 21:46,27
B64945,1000095,22,2014/9/13 21:45,4
B58888,1000093,20,2014/9/13 21:46,4
E51753,1000091,19,2014/9/13 21:45,2
D59625,1000092,21,2014/9/13 21:45,200
E69175,1000093,20,2014/9/13 21:45,2
C53191,1000093,20,2014/9/13 21:46,200
B74127,1000092,21,2014/9/13 21:45,200
D64936,1000016,28,2014/9/13 21:45,20
A74352,1000092,21,2014/9/13 21:46,88
C73421,1000095,22,2014/9/13 21:46,68
E73199,1000093,20,2014/9/13 21:46,176
A79579,1000092,21,2014/9/13 21:46,156
E50100,1000093,20,2014/9/13 21:46,128
C65771,1000093,20,2014/9/13 21:46,200
E51753,1000091,19,2014/9/13 21:46,200
A64011,1000095,22,2014/9/13 21:46,30
B72408,1000091,19,2014/9/13 21:46,86
E27931,1000029,34,2014/9/13 6:42,370
E56664,1000003,30,2014/9/13 6:42,20
A65860,1000001,30,2014/9/13 6:42,600
C69073,1000010,30,2014/9/13 6:42,150
C28926,1000030,34,2014/9/13 6:42,780
B64631,1000057,38,2014/9/13 6:42,490
D72063,1000010,30,2014/9/13 6:42,150
B25078,1000057,38,2014/9/13 6:43,500
C36141,1000057,38,2014/9/13 6:43,480
C33972,1000003,30,2014/9/13 6:43,500
A77889,1000057,38,2014/9/13 6:43,850
C33972,1000003,30,2014/9/13 6:43,500
C37190,1000057,38,2014/9/13 6:44,300
B65850,1000030,34,2014/9/13 6:44,250
C60289,1000233,36,2014/9/13 6:44,520
D64307,1000003,30,2014/9/13 6:44,650
B72497,1000010,30,2014/9/13 6:44,800
B72497,1000010,30,2014/9/13 6:44,250
D13886,1000057,38,2014/9/13 6:44,370
E61027,1000011,30,2014/9/13 6:44,150
B22391,1000001,30,2014/9/13 6:44,140
B66644,1000011,30,2014/9/13 6:45,250
C71688,1000057,38,2014/9/13 6:45,270
A48558,1000029,34,2014/9/13 6:45,150
B22391,1000001,30,2014/9/13 6:45,100
A77889,1000057,38,2014/9/13 6:45,270
A64835,1000233,36,2014/9/13 6:45,600
D49246,1000027,34,2014/9/13 6:45,350
A65350,1000057,38,2014/9/13 6:45,220
A48558,1000031,34,2014/9/13 6:45,200
D60581,1000030,34,2014/9/13 6:45,140
