fromaccount,toaccount,syscode,timestamp,amount
E56456,1000178,37,2014/9/9 11:09,666
E61515,1000027,34,2014/9/9 11:10,1116
C52547,1000040,34,2014/9/9 11:10,950
A31450,1000039,34,2014/9/9 11:10,1200
A68650,1000041,34,2014/9/9 11:10,1266
C30437,1000178,37,2014/9/9 11:10,620
B42230,1000178,37,2014/9/9 11:10,1166
C63478,1000178,37,2014/9/9 11:10,766
A40164,1000015,99,2014/9/9 11:10,672
C77457,1000003,30,2014/9/9 11:10,650
A64330,1000027,34,2014/9/9 11:10,722
A51921,1000029,34,2014/9/9 11:10,700
B36815,1000038,34,2014/9/9 11:10,766
A44067,1000040,34,2014/9/9 11:10,1300
E53837,1000037,34,2014/9/9 11:10,3800
D76509,1000041,34,2014/9/9 11:10,1200
A64646,1000027,34,2014/9/9 11:10,666
E69205,1000055,38,2014/9/9 11:10,1166
C61059,1000182,38,2014/9/9 11:10,650
E48036,1000040,34,2014/9/9 11:15,700
B61448,1000031,34,2014/9/9 11:15,600
B74127,1000041,34,2014/9/9 11:14,150
B35914,1000030,34,2014/9/9 11:14,500
D76011,1000037,34,2014/9/9 11:15,510
B32050,1000027,34,2014/9/9 11:14,472
B63286,1000011,30,2014/9/9 11:14,700
E60764,1000057,38,2014/9/9 11:15,150
D68787,1000055,38,2014/9/9 11:15,1044
C56103,1000213,38,2014/9/9 11:14,600
B69887,1000055,38,2014/9/9 11:15,744
C58342,1000055,38,2014/9/9 11:15,1144
D59167,1000178,37,2014/9/9 11:14,744
B35921,1000178,37,2014/9/9 11:14,760
A59297,1000178,37,2014/9/9 11:15,1088
E53995,1000027,34,2014/9/9 11:05,716
A73350,1000215,34,2014/9/9 11:05,2300
C57982,1000038,34,2014/9/9 11:05,716
E61724,1000041,34,2014/9/9 11:05,700
B37633,1000215,34,2014/9/9 11:05,1200
B78346,1000027,34,2014/9/9 11:05,716
C54550,1000041,34,2014/9/9 11:05,150
A63942,1000215,34,2014/9/9 11:05,800
C49543,1000001,30,2014/9/9 11:05,966
A79464,1000007,30,2014/9/9 11:05,400
A43092,1000040,34,2014/9/9 11:05,1250
D53314,1000027,34,2014/9/9 11:05,866
E77391,1000037,34,2014/9/9 11:05,1740
D61165,1000038,34,2014/9/9 11:05,966
A50891,1000215,34,2014/9/9 11:05,2800
D58399,1000027,34,2014/9/9 11:05,666
D74760,1000038,34,2014/9/9 11:05,966
D53791,1000002,99,2014/9/9 11:05,622
C63988,1000055,38,2014/9/9 11:06,344
C62853,1000178,37,2014/9/9 11:06,866
C53492,1000007,30,2014/9/9 11:06,400
C39496,1000027,34,2014/9/9 11:06,866
C72787,1000041,34,2014/9/9 11:06,200
E73727,1000027,34,2014/9/9 11:06,716
E75747,1000041,34,2014/9/9 11:10,150
D59241,1000040,34,2014/9/9 11:10,1750
A59192,1000041,34,2014/9/9 11:10,566
C51564,1000041,34,2014/9/9 11:10,1200
C22431,1000038,34,2014/9/9 11:10,1066
D36779,1000027,34,2014/9/9 11:10,516
B78486,1000041,34,2014/9/9 11:10,150
E57406,1000031,34,2014/9/9 11:10,200
D40454,1000010,30,2014/9/9 11:10,800
A66884,1000002,99,2014/9/9 11:10,250
C49186,1000055,38,2014/9/9 11:10,1166
C29073,1000055,38,2014/9/9 11:10,966
A53835,1000212,38,2014/9/9 11:01,900
C60217,1000056,38,2014/9/9 11:01,566
C25719,1000178,37,2014/9/9 11:01,866
C68860,1000041,34,2014/9/9 11:01,766
D72208,1000040,34,2014/9/9 11:01,700
C46668,1000041,34,2014/9/9 11:01,1000
A41801,1000060,38,2014/9/9 11:01,50
E49411,1000219,99,2014/9/9 11:01,670
A49392,1000178,37,2014/9/9 11:01,1022
E52036,1000041,34,2014/9/9 11:01,1400
D41208,1000027,34,2014/9/9 11:01,866
E44491,1000041,34,2014/9/9 11:01,200
D69473,1000040,34,2014/9/9 11:01,950
D56909,1000027,34,2014/9/9 11:01,816
A47076,1000001,30,2014/9/9 11:01,566
C72835,1000216,38,2014/9/9 11:01,900
C78839,1000215,34,2014/9/9 11:02,800
C77754,1000027,34,2014/9/9 11:02,622
E67700,1000040,34,2014/9/9 11:02,850
C45455,1000037,34,2014/9/9 11:02,790
E63145,1000002,99,2014/9/9 11:06,520
D66240,1000001,30,2014/9/9 11:06,672
E52533,1000010,30,2014/9/9 11:06,600
B79134,1000027,34,2014/9/9 11:06,544
A25620,1000038,34,2014/9/9 11:06,566
A59290,1000215,34,2014/9/9 11:06,1600
A62397,1000027,34,2014/9/9 11:06,816
B29875,1000041,34,2014/9/9 10:56,1500
A65897,1000041,34,2014/9/9 10:56,150
D55919,1000027,34,2014/9/9 10:56,200
A40738,1000029,34,2014/9/9 10:56,900
C72995,1000041,34,2014/9/9 10:56,1200
B42221,1000031,34,2014/9/9 10:56,800
A53608,1000041,34,2014/9/9 10:55,150
C16428,1000038,34,2014/9/9 10:56,666
A79635,1000007,30,2014/9/9 10:56,250
C69621,1000007,30,2014/9/9 10:56,600
A73718,1000010,30,2014/9/9 10:56,150
E71899,1000219,99,2014/9/9 10:56,650
C57217,1000015,99,2014/9/9 10:56,966
E56157,1000002,99,2014/9/9 10:56,566
D75220,1000040,34,2014/9/9 10:56,1500
A42824,1000027,34,2014/9/9 10:56,200
A74369,1000041,34,2014/9/9 10:56,477
B47620,1000038,34,2014/9/9 10:56,766
D78403,1000038,34,2014/9/9 10:56,1066
C50324,1000041,34,2014/9/9 10:56,1500
B29552,1000030,34,2014/9/9 10:56,800
C58646,1000037,34,2014/9/9 10:56,480
E60693,1000027,34,2014/9/9 10:56,716
E54498,1000040,34,2014/9/9 10:56,700
C79384,1000178,37,2014/9/9 10:56,660
C40427,1000178,37,2014/9/9 10:56,560
B69461,1000055,38,2014/9/9 10:56,544
C55926,1000010,30,2014/9/9 10:56,300
E78289,1000007,30,2014/9/9 10:56,400
B70745,1000027,34,2014/9/9 10:56,616
D30739,1000038,34,2014/9/9 10:56,666
C55794,1000041,34,2014/9/9 10:56,1000
B48458,1000027,34,2014/9/9 10:56,686
D74380,1000215,34,2014/9/9 10:56,2200
A67812,1000041,34,2014/9/9 10:56,150
D63158,1000027,34,2014/9/9 10:56,566
A49414,1000093,20,2014/9/9 20:49,160
A24745,1000093,20,2014/9/9 20:49,152
D66400,1000093,20,2014/9/9 20:49,10
D76116,1000095,22,2014/9/9 20:50,70
C65398,1000093,20,2014/9/9 20:50,14
A55173,1000095,64,2014/9/9 20:50,52
CD8341,1000095,22,2014/9/9 20:50,70
