fromaccount,toaccount,syscode,timestamp,amount
B51097,1000095,22,2014/9/8 12:35,44
B57139,1000016,28,2014/9/8 12:35,700
E58393,1000095,22,2014/9/8 12:35,36
C15308,1000095,64,2014/9/8 12:35,200
D78620,1000095,22,2014/9/8 12:35,24
A43726,1000095,64,2014/9/8 12:37,33
D69722,1000016,28,2014/9/8 12:39,340
C76140,1000095,22,2014/9/8 12:39,16
C54921,1000095,22,2014/9/8 12:40,89
D78620,1000095,22,2014/9/8 12:40,14
E47974,1000016,28,2014/9/8 12:41,680
B51097,1000095,22,2014/9/8 12:41,33
B55195,1000016,28,2014/9/8 12:43,410
E44704,1000095,22,2014/9/8 12:43,176
C46839,1000095,64,2014/9/8 12:43,200
D30295,1000016,28,2014/9/8 12:46,1000
D78620,1000095,22,2014/9/8 12:47,52
E78517,1000095,64,2014/9/8 12:47,200
D57657,1000016,28,2014/9/8 12:48,890
A56062,1000095,64,2014/9/8 12:49,187
C46839,1000095,64,2014/9/8 12:50,62
B64018,1000091,19,2014/9/8 20:32,200
C61780,1000093,20,2014/9/8 20:32,8
B79077,1000093,20,2014/9/8 20:32,106
E76990,1000093,20,2014/9/8 20:32,200
C37553,1000095,64,2014/9/8 20:32,8
D74840,1000093,20,2014/9/8 20:32,34
D49102,1000093,20,2014/9/8 20:32,6
E49579,1000093,20,2014/9/8 20:32,124
D36028,1000195,128,2014/9/8 20:32,2000
A33964,1000093,20,2014/9/8 20:32,40
B64018,1000091,19,2014/9/8 20:32,200
D76648,1000093,20,2014/9/8 20:32,122
B58784,1000093,20,2014/9/8 19:13,74
C49078,1000093,20,2014/9/8 19:13,6
D65644,1000091,19,2014/9/8 19:13,8
D27587,1000091,19,2014/9/8 19:13,22
E69493,1000091,19,2014/9/8 19:13,28
E45284,1000093,20,2014/9/8 19:13,200
A65343,1000091,19,2014/9/8 19:13,24
B79113,1000093,20,2014/9/8 19:13,12
E54421,1000091,19,2014/9/8 19:13,72
C76320,1000095,64,2014/9/8 19:13,200
A58178,1000095,64,2014/9/8 20:48,102
E47542,1000093,20,2014/9/8 20:48,80
B59072,1000091,19,2014/9/8 20:49,100
D68316,1000016,28,2014/9/8 20:49,230
D54293,1000093,20,2014/9/8 20:49,170
C39755,1000091,19,2014/9/8 20:48,86
D33766,1000091,19,2014/9/8 20:49,14
E74572,1000095,22,2014/9/8 20:49,190
B64460,1000093,20,2014/9/8 20:49,120
C22554,1000093,20,2014/9/8 20:49,200
A43203,1000093,20,2014/9/8 20:49,26
C77829,1000091,19,2014/9/8 20:49,4
A75251,1000093,20,2014/9/8 20:49,196
C77480,1000091,19,2014/9/8 20:49,72
B77338,1000091,19,2014/9/8 20:49,28
C69808,1000093,20,2014/9/8 20:49,176
D35126,1000095,22,2014/9/8 20:49,4
C27303,1000016,28,2014/9/8 20:49,600
A74359,1000095,22,2014/9/8 20:50,86
E44070,1000095,22,2014/9/8 20:49,22
B71349,1000093,20,2014/9/8 20:49,40
E79602,1000093,20,2014/9/8 20:50,64
D32856,1000095,64,2014/9/8 20:50,38
E48279,1000095,64,2014/9/8 19:27,150
C31054,1000093,20,2014/9/8 19:27,200
B73044,1000093,20,2014/9/8 19:27,104
B61527,1000093,20,2014/9/8 19:27,2
C71704,1000093,20,2014/9/8 19:27,88
C26432,1000016,28,2014/9/8 19:27,620
E79480,1000093,20,2014/9/8 19:27,200
C57228,1000091,19,2014/9/8 19:27,118
E21850,1000093,20,2014/9/8 19:27,200
B69335,1000093,20,2014/9/8 19:27,200
A76281,1000091,19,2014/9/8 19:28,150
C78154,1000091,19,2014/9/8 19:54,148
D71258,1000093,20,2014/9/8 19:54,42
C77013,1000093,20,2014/9/8 19:54,26
C72238,1000091,19,2014/9/8 19:54,46
B30189,1000095,22,2014/9/8 19:54,27
A27317,1000016,28,2014/9/8 19:54,250
D42119,1000095,22,2014/9/8 19:54,115
D58502,1000093,20,2014/9/8 19:54,102
B68892,1000093,20,2014/9/8 19:54,102
D72318,1000093,20,2014/9/8 19:54,200
B74116,1000093,20,2014/9/8 19:54,18
A57125,1000093,20,2014/9/8 19:14,200
E70738,1000091,19,2014/9/8 19:14,130
E77279,1000091,19,2014/9/8 19:14,148
E28777,1000095,22,2014/9/8 19:14,148
D74759,1000093,20,2014/9/8 19:14,92
C62298,1000091,19,2014/9/8 19:14,38
B74250,1000093,20,2014/9/8 19:14,68
E56091,1000095,64,2014/9/8 19:15,48
C62080,1000091,19,2014/9/8 19:15,200
D73668,1000091,19,2014/9/8 19:15,112
D61309,1000091,19,2014/9/8 19:15,24
D54304,1000095,22,2014/9/8 19:15,113
E54844,1000093,20,2014/9/8 19:43,84
B73800,1000095,64,2014/9/8 19:43,9
D49739,1000091,19,2014/9/8 19:43,8
E37422,1000095,22,2014/9/8 19:43,59
E41607,1000091,19,2014/9/8 19:43,52
D65716,1000095,22,2014/9/8 19:43,24
C70039,1000195,128,2014/9/8 19:43,1000
C78015,1000093,20,2014/9/8 19:43,74
E76389,1000016,28,2014/9/8 19:44,640
B64460,1000093,20,2014/9/8 20:50,12
E66228,1000093,20,2014/9/8 19:19,98
A41032,1000091,19,2014/9/8 19:19,70
E21068,1000093,20,2014/9/8 19:19,142
C30780,1000093,20,2014/9/8 19:19,4
D73668,1000091,19,2014/9/8 19:19,30
E66228,1000093,20,2014/9/8 19:19,200
C48570,1000091,19,2014/9/8 19:19,82
E54421,1000091,19,2014/9/8 19:19,50
D65644,1000091,19,2014/9/8 19:19,22
D55969,1000091,19,2014/9/8 19:20,108
C74898,1000093,20,2014/9/8 19:20,32
C57228,1000091,19,2014/9/8 19:20,58
A66045,1000091,19,2014/9/8 19:20,18
B58335,1000093,20,2014/9/8 19:20,2
D27587,1000091,19,2014/9/8 19:20,54
D19022,1000093,20,2014/9/8 19:20,32
B54178,1000093,20,2014/9/8 19:20,44
D62094,1000091,19,2014/9/8 19:20,200
E50947,1000093,20,2014/9/8 19:20,200
A47703,1000093,20,2014/9/8 19:20,50
E77039,1000093,20,2014/9/8 19:20,40
E43279,1000093,20,2014/9/8 19:20,86
B77389,1000093,20,2014/9/8 19:20,16
E71661,1000091,19,2014/9/8 19:20,174
C68673,1000095,22,2014/9/8 19:20,28
A71245,1000093,20,2014/9/8 19:54,104
B51937,1000095,64,2014/9/8 19:54,4
A70985,1000093,20,2014/9/8 19:55,98
E46376,1000095,22,2014/9/8 19:55,200
A77513,1000095,64,2014/9/8 19:55,1
D50569,1000095,64,2014/9/8 19:55,30
D79346,1000093,20,2014/9/8 19:55,20
C60217,1000095,22,2014/9/8 19:55,88
B30189,1000095,22,2014/9/8 19:55,3
D74407,1000016,28,2014/9/8 19:55,850
B67723,1000093,20,2014/9/8 19:55,116
E63969,1000095,64,2014/9/8 19:55,185
B78635,1000093,20,2014/9/8 20:18,200
D71295,1000095,22,2014/9/8 20:18,25
C58462,1000095,22,2014/9/8 20:18,67
E61991,1000093,20,2014/9/8 20:18,200
E39144,1000016,28,2014/9/8 20:19,1830
A71576,1000095,64,2014/9/8 20:18,32
D75349,1000093,20,2014/9/8 20:19,74
C19162,1000095,64,2014/9/8 20:19,16
D38327,1000093,20,2014/9/8 20:18,40
E37903,1000091,19,2014/9/8 19:59,128
A61497,1000093,20,2014/9/8 19:59,116
C38756,1000093,20,2014/9/8 19:59,200
D77434,1000091,19,2014/9/8 19:59,46
B55230,1000091,19,2014/9/8 19:59,22
B54438,1000093,20,2014/9/8 19:59,2
C71255,1000091,19,2014/9/8 19:59,30
B56794,1000016,28,2014/9/8 19:59,220
A77513,1000095,64,2014/9/8 19:59,14
B51937,1000095,64,2014/9/8 19:59,17
B62785,1000093,20,2014/9/8 19:59,92
A34863,1000095,64,2014/9/8 19:59,25
A74534,1000093,20,2014/9/8 19:59,34
C32344,1000091,19,2014/9/8 19:59,124
B77548,1000091,19,2014/9/8 19:59,126
C78719,1000093,20,2014/9/8 19:59,200
E71220,1000093,20,2014/9/8 19:59,12
C78473,1000016,28,2014/9/8 20:22,300
DE8231,1000095,64,2014/9/8 20:23,32
D52043,1000093,20,2014/9/8 20:23,50
E76670,1000093,20,2014/9/8 20:27,104
E63010,1000095,64,2014/9/8 20:27,200
D52993,1000091,19,2014/9/8 20:27,60
B73044,1000093,20,2014/9/8 20:27,200
A54870,1000095,22,2014/9/8 20:27,8
D57997,1000093,20,2014/9/8 20:27,112
D78873,1000091,19,2014/9/8 20:27,22
E76990,1000093,20,2014/9/8 20:37,108
D32967,1000093,20,2014/9/8 20:37,120
C29075,1000091,19,2014/9/8 20:38,48
E60978,1000093,20,2014/9/8 20:38,70
D54049,1000093,20,2014/9/8 20:38,110
E47542,1000093,20,2014/9/8 20:38,96
E39489,1000095,64,2014/9/8 20:38,62
A75251,1000093,20,2014/9/8 20:38,200
B78058,1000093,20,2014/9/8 20:38,200
A75251,1000093,20,2014/9/8 20:38,200
D28506,1000093,20,2014/9/8 20:38,200
D79069,1000091,19,2014/9/8 20:38,200
D59242,1000095,64,2014/9/8 20:38,22
B70456,1000011,30,2014/9/8 10:44,150
E52290,1000001,30,2014/9/8 10:44,666
B79555,1000007,30,2014/9/8 10:44,350
C74079,1000001,30,2014/9/8 10:44,616
B38306,1000001,30,2014/9/8 10:44,466
E33238,1000057,38,2014/9/8 10:44,450
B46764,1000055,38,2014/9/8 10:44,1044
A50059,1000002,99,2014/9/8 10:44,560
C57478,1000001,30,2014/9/8 10:45,666
